hydro_id,wasta,name,capacity,capacity_increase_2025,capacity_increase_2030,capacity_increase_2035,capacity_increase_2040,eta_turb,pump,pump_increase_2025,pump_increase_2030,pump_increase_2035,pump_increase_2040,eta_pump,technology,country,canton_id,"winter generation
[MWh]","summer generation
[MWh]",hydro scheme_id,upperwn,lowerwn,Cascade
Dam_Sedrun,100200,Sedrun,147,,,,,1.361111111,0,,,,,0,Dam,CH,can8,182300,79100,201,Lai da Nalps,Lai Runcahez (AGB Somvixertal),7
Dam_Tavanasa,100300,Tavanasa,176.4,,,,,1.065217391,0,,,,,0,Dam,CH,can8,220500,342900,201,Lai Runcahez (AGB Somvixertal),Ausgleichsbecken Tavanasa,7
RoR_Russein,100400,Russein,24.2,,,,,0.96031746,0,,,,,0,RoR,CH,can8,8400,58400,246.2,Lag Barcuns,NULL,85
RoR_Ferrera,100500,Ferrera,4.23,,,,,1.958333333,0,,,,,0,RoR,CH,can8,3790,14720,213,Virtual_wn_23,NULL,128
RoR_Tavanasa (Patvag),100600,Tavanasa (Patvag),3.7,,,,,0.685185185,0,,,,,0,RoR,CH,can8,5300,13300,246.1,Virtual_wn_24,NULL,129
RoR_Mutteins,100700,Mutteins,12,,,,,1.111111111,0,,,,,0,RoR,CH,can8,12900,41400,247,Brigels See,NULL,105
RoR_Ladral,100800,Ladral,5.6,,,,,1.728395062,0,,,,,0,RoR,CH,can8,3470,12060,2,Ausgleichsbecken (Alp) Gneida,NULL,104
RoR_Ilanz I,100900,Ilanz I,33.8,,,,,0.187777778,0,,,,,0,RoR,CH,can8,50500,86700,202,Ausgleichsbecken Tavanasa,NULL,7
Dam_Ilanz II,101000,Ilanz II,48.5,,,,,1.684027778,0,,,,,0,Dam,CH,can8,23200,116400,202,Stausee Ranasca (Panix),NULL,7
Pump_Zervreila,101100,Zervreila,20,,,,,0.277777778,5.8,,,,,0.37037037,Pump,CH,can16,18100,7600,3.1,Zervreilasee,Ausgleichsbecken Zervreila,108
Dam_Safien Platz,101200,Safien Platz,88,,,,,1.062801932,0,,,,,0,Dam,CH,can8,93700,68600,3.1,Ausgleichsbecken Wanna,Ausgleichsbecken Safien Platz,108
Dam_Rothenbrunnen (KWZ),101300,Rothenbrunnen (KWZ),127,,,,,1.610857433,0,,,,,0,Dam,CH,can8,159500,171200,3.1,Ausgleichsbecken Safien Platz,NULL,108
RoR_Realta,101400,Realta,26,,,,,1.203703704,0,,,,,0,RoR,CH,can8,13900,24900,3.2,Stausee Safien (Egschi),NULL,6
RoR_Bargaus,101500,Bargaus,2.75,,,,,0.795717593,0,,,,,0,RoR,CH,can8,4500,9200,4.2,Ual da Mulin Stausee,NULL,103
RoR_Flims,101600,Flims,1.66,,,,,0.54248366,0,,,,,0,RoR,CH,can8,1800,5900,4.1,Virtual_wn_25,NULL,130
RoR_Trin Mulin,101700,Trin Mulin,1.5,,,,,0.297619048,0,,,,,0,RoR,CH,can8,1250,4550,192,Virtual_wn_26,NULL,131
RoR_Pintrun,101800,Pintrun,6.2,,,,,0.344444444,0,,,,,0,RoR,CH,can8,7600,23200,246.3,Virtual_wn_27,NULL,132
Pump_Ferrera I,101900,Ferrera I,180,,,,,1.088777079,90,,,,,1.451702772,Pump,CH,can8,210000,94000,133.1,Lago di Lei,Sufnersee,2
RoR_Ferrera II,102000,Ferrera II,4.4,,,,,1.088783489,0,,,,,0,RoR,CH,can8,500,2000,133.1,Lago di Lei,Sufnersee,2
Dam_Baerenburg,102100,Baerenburg,220,,,,,0.763888889,0,,,,,0,Dam,CH,can8,188000,300000,133.1,Sufnersee,Stausee Bärenburg,2
RoR_Baerenburg-Dotierzentrale,102200,Baerenburg-Dotierzentrale,1.6,,,,,0.116959064,0,,,,,0,RoR,CH,can8,900,1900,133.1,Virtual_wn_28,NULL,2
Dam_Sils (KHR),102300,Sils (KHR),247,,,,,0.939878234,0,,,,,0,Dam,CH,can8,246000,414000,133.1,Stausee Bärenburg,NULL,2
RoR_Thusis,102400,Thusis,4.6,,,,,0.212962963,0,,,,,0,RoR,CH,can8,4500,11200,133.2,Virtual_wn_29,NULL,134
RoR_Frauenkirch,102600,Frauenkirch,0.7,,,,,0.243055556,0,,,,,0,RoR,CH,can8,1730,2590,31.1,Virtual_wn_30,NULL,135
RoR_Glaris,102700,Glaris,0.96,,,,,0.126984127,0,,,,,0,RoR,CH,can8,3490,3870,31.2,Virtual_wn_20,Ausgleichsbecken Glaris-Ardüs,124
RoR_Filisur,102800,Filisur,64,,,,,1.111111111,0,,,,,0,RoR,CH,can8,84100,205700,240,Ausgleichsbecken Glaris-Ardüs,Ausgleichsbecken Filisur,124
RoR_Tiefencastel (ALK),102900,Tiefencastel (ALK),23,,,,,0.354938272,0,,,,,0,RoR,CH,can8,31100,73300,240,Ausgleichsbecken Filisur,NULL,124
Dam_Tinzen,103100,Tinzen,62.7,,,,,1.042914172,0,,,,,0,Dam,CH,can8,89150,101810,134.3,Lai da Marmorera,Virtual_wn_1,3
Dam_Tiefencastel Ost,103200,Tiefencastel Ost,50,,,,,0.831669993,0,,,,,0,Dam,CH,can8,74140,82960,134.3,Virtual_wn_1,Alvaschein Stausee (Stausee Solis),3
